PACKAGE,DESCRIPTION,HAS_MESH,HAS_UPB,UPFRONT_FEE,NONDISCOUNTED_PRICE,CONTRACT_TERM [MONTHS],DISCOUNTED_PRICE,DISCOUNT_TERM [MONTHS],BB_SPEED,HAS_TV_PACK_VAR,HAS_TV_PACK_MOVIES,HAS_TV_PACK_SPORTS,HAS_TV_PACK_KIDS,HAS_TV_PACK_FAMILY/ ULTIMATE,HAS_FIXED,HAS_CONTENT,IS_PROACTIVE_RECONTRACTING,IS_MONETIZATION,TERMINATION_DATE,STATUS,REMARKS
UniVERSE - Unifi 500Mbps - Home Broadband with Netflix, UniVERSE - Unifi 500Mbps - Home Broadband with Netflix,FALSE,TRUE,,198.9,24,198.9,24,500,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,Minimum trade up+25 RM in Monetization
"UniVERSE - Unifi Home 1Gbps Value Broadband with Netflix
(24M)"," UniVERSE - Unifi Home 1Gbps Value Broadband with Netflix
(24M)",FALSE,TRUE,,328.9,24,278.9,24,1000,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,Minimum trade up+25 RM in Monetization
UniVERSE - Unifi 2Gbps - Home Broadband with Netflix, UniVERSE - Unifi 2Gbps - Home Broadband with Netflix,FALSE,TRUE,,358.9,24,358.9,24,2000,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,Minimum trade up+25 RM in Monetization
Unifi Home 100Mbps staywithUnifi 4.0 + Varnam/Aneka/Ruby,Unifi Home 100Mbps staywithUnifi 4.0 + Varnam/Aneka/Ruby,FALSE,TRUE,,119,24,30,6,100,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 300Mbps staywithUnifi 4.0 + Varnam/Aneka/Ruby,Unifi Home 300Mbps staywithUnifi 4.0 + Varnam/Aneka/Ruby,FALSE,TRUE,,159,24,30,6,300,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 500Mbps staywithUnifi 4.0 + Varnam/Aneka/Ruby,Unifi Home 500Mbps staywithUnifi 4.0 + Varnam/Aneka/Ruby,FALSE,TRUE,,179,24,30,6,500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 800Mbps staywithUnifi 4.0 + Varnam/Aneka/Ruby,Unifi Home 800Mbps staywithUnifi 4.0 + Varnam/Aneka/Ruby,FALSE,TRUE,,259,24,30,6,800,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 1Gbps staywithUnifi 4.0 + Varnam/Aneka/Ruby,Unifi Home 1Gbps staywithUnifi 4.0 + Varnam/Aneka/Ruby,FALSE,TRUE,,279,24,30,6,1000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 100Mbps staywithUnifi 4.0 + Ultimate,Unifi Home 100Mbps staywithUnifi 4.0 + Ultimate,FALSE,TRUE,,149,24,60,6,100,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 300Mbps staywithUnifi 4.0 + Ultimate,Unifi Home 300Mbps staywithUnifi 4.0 + Ultimate,FALSE,TRUE,,189,24,60,6,300,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 500Mbps staywithUnifi 4.0 + Ultimate,Unifi Home 500Mbps staywithUnifi 4.0 + Ultimate,FALSE,TRUE,,219,24,60,6,500,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 800Mbps staywithUnifi 4.0 + Ultimate,Unifi Home 800Mbps staywithUnifi 4.0 + Ultimate,FALSE,TRUE,,289,24,60,6,800,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
Unifi Home 1Gbps staywithUnifi 4.0 + Ultimate,Unifi Home 1Gbps staywithUnifi 4.0 + Ultimate,FALSE,TRUE,,309,24,60,6,1000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,"Only for Out of Contract, both for Monetiz and Proact Recontr. The Mesh/ UPB status is unclear"
