ID,PACKAGE,DESCRIPTION,UPFRONT_FEE,NONDISCOUNTED_PRICE,CONTRACT_TERM [MONTHS],DISCOUNTED_PRICE,DISCOUNT_TERM [MONTHS],HAS_OTT_NETFLIX,HAS_CONTENT,IS_PROACTIVE_RECONTRACTING,IS_MONETIZATION,TERMINATION_DATE,CAN_BE_ADDED_TO_BUNDLES,CAN_BE_ADDED_TO_UNIFI,CAN_BE_STACKED_WITH_OTHER_STANDALONES,STATUS,REMARKS
,Netflix Basic,,,28,24,28,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,TRUE,Minimum trade up of customer ARPU with a Netflix promo or standalone in monetization is +25 RM
,Netflix Standard,,,45,24,45,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,TRUE,Minimum trade up of customer ARPU with a Netflix promo or standalone in monetization is +25 RM
