customer_id,month_year,avg_3mth_lag_fxd_brdbnd_total_download_gb,avg_3mth_fxd_brdbnd_total_sessions,min_months_until_contract_end,payment_mode_cash_cnt,max_months_until_contract_end,lag2_sum_net_revenue_amt,payment_mode_credit_card_cnt,lag2_sum_price,lag2_sum_unifi_stmx_rev_amt,lag2_sum_monthly_charges,lag2_sum_inv_tax_amt,payment_cent_type_bank_or_card_cnt,any_6mth_price_hike_10pct,account_cnt,lag2_fxd_voice_tot_usage_discnt_chrgs,lag2_sum_hypptv_revenue_amt,sum_hypptv_revenue_amt,revenue_score,fxd_voice_tot_usage_discnt_chrgs,avg_6m_cnt_prod_w,fxd_voice_wkend_tot_usage_discnt_chrgs,lag2_fxd_voice_wkday_tot_usage_discnt_chrgs,payment_cent_type_sbbs_or_mppj_cnt,spdtst_test_cnt,spdtst_avg_jitter,lag1_spdtst_avg_upload_kbps,lag1_spdtst_max_upload_kbps,payment_cent_type_post_office_cnt,tot_srvc_cnt,lag1_sum_hypptv_revenue_amt,avg_3m_tot_srvc_cnt,fxd_voice_wkday_tot_usage_discnt_chrgs,fxd_voice_wkday_postcode,fxd_voice_postcode,ct_unifi_super_value_pckg,fxd_voice_wkend_postcode,hypptv_rev_postcode,fxd_brdbnd_postcode,voice_rev_postcode,usage_charge_postcode,ct_promo_pckg,marital_status,ct_pckg_less_50_myr,monthly_charge_postcode,unifi_stmx_rev_postcode,net_revenue_postcode,is_out_of_contract,ct_unifi_pckg_less_150_myr,ct_pckg_over_100_myr,revenue_band,cnt_of_contracts,speed_upsell,y_pred,decile,percentile,y_pred_calibrated
1-13U-1816,202308,151.26833,4.333333,,1,,89.1,0,89,89,89,5.346,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,157,158,0,157,149,151,149,149,0,3,0,149,149,150,1,1,0,2,0,0,0.001884102,3,36,0.009731437
1-13U-25134,202308,166.85767,2,,,,69,,69,69,69,4.14,,0,,,0,0,3,,0,,,,0,,,,,1,0,1,,456,459,0,457,434,439,434,434,1,0,0,434,434,437,0,1,0,2,0,0,0.001921896,3,30,0.009741454
1-13U-25807,202308,314.118,2.666667,,0,,266.3,1,85,89,89,15.98,1,0,1,,0,0,5,,1.5,,,0,0,,,,0,4,0,4,,787,788,0,788,737,746,737,737,0,3,0,734,735,741,1,1,0,0,0,0,0.003925286,0,2,0.010287334
1-13U-28074,202308,135.74033,2.333333,,0,,89,1,69,89,89,5.34,1,0,1,,0,0,3,0,0,0,,0,0,,,,0,1,0,1,0,418,420,0,420,397,402,397,397,1,2,0,397,397,400,1,1,0,2,0,0,0.001912177,3,31,0.009738877
1-13U-34611,202308,24.996,1.333333,,0,,89,0,85,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,613,610,0,611,581,585,580,580,0,3,0,579,579,583,1,1,0,2,0,0,0.001691367,6,60,0.00968051
1-149YHTI,202308,0,0,,0,,89,0,89,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,9883,9883,0,1,0,1,,157,158,0,157,149,151,149,149,0,3,0,149,149,150,1,1,0,2,0,0,0.001745683,5,55,0.009694835
1-14B-1204,202308,52.79767,40.333332,,1,,89,0,89,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,885,889,0,887,822,831,822,822,0,3,0,819,820,828,0,1,0,2,0,0,0.001696458,6,60,0.009681852
1-14B-16424,202308,55.431667,1.333333,,1,,89,0,69,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,9,10,0,9,8,8,8,8,1,3,0,8,8,8,0,1,0,2,0,0,0.001728703,5,56,0.009690355
1-14B-18007,202308,327.83032,3.666667,7.774194,,7.774194,89,,89,89,89,5.34,,0,,,0,0,3,,0,,,,0,,,,,1,0,1,,13,14,0,13,12,12,12,12,0,2,0,12,12,12,0,1,0,2,1,0,0.001665127,6,62,0.009673597
1-14B-23061,202308,25.463667,2,,0,,89,1,69,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,1256,1270,0,1268,1135,1153,1137,1136,1,3,0,1134,1135,1151,0,1,0,2,0,0,0.001726645,5,57,0.009689812
1-14B-5839,202308,124.795,22.333332,3.3548386,,3.3548386,89,,85,89,89,5.34,,0,,,0,0,3,,0,,,,0,,,,,1,0,1,,839,842,0,842,778,787,778,778,0,3,0,775,776,783,0,1,0,2,1,0,0.001291058,9,94,0.009575577
1-14B-6228,202308,491.86966,25.333332,20.516129,1,20.516129,178,1,174,178,178,10.68,1,0,2,,0,0,4,,0,,,0,0,,,,0,2,0,2,,751,725,0,752,705,696,705,705,0,2,0,702,703,709,1,2,0,2,1,0,0.002849449,0,6,0.009990532
1-14D-14418,202308,197.21233,4.333333,,1,,89,0,69,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,1108,1120,0,1118,1008,1023,1009,1008,1,3,0,1006,1007,1020,1,1,0,2,0,0,0.001802148,4,48,0.009709749
1-14D-17191,202308,55.619335,48.333332,,1,,148,0,69,89,89,8.88,1,0,1,,0,0,4,,0.5,,,0,0,,,,0,2,0,2,,335,335,0,336,320,323,320,320,1,3,0,320,320,322,1,1,0,2,0,0,0.001737208,5,55,0.009692599
